id,Name,Release_Year,user_rate
49887,Wuthering Heights,1939,2.5
51578,Psycho,1960,3.0
51196,Spartacus,1960,
51987,2001: A Space Odyssey,1968,4.5
51867,A Clockwork Orange,1971,3.0
51818,The Godfather,1972,4.5
51816,The Godfather: Part II,1974,3.5
51542,Jaws,1975,
51600,One Flew Over the Cuckoo's Nest,1975,3.5
51423,Annie Hall,1977,2.5
51432,The Shining,1980,4.0
38374,Possession,1981,2.5
189483,Death of Yazdgerd,1982,4.0
51633,Stranger Than Paradise,1984,1.5
50518,The Breakfast Club,1985,3.5
189481,The Tenants,1987,1.5
46030,The Unbearable Lightness of Being,1988,0.5
49530,Beetlejuice,1988,2.0
45493,Cinema Paradiso,1988,4.0
50177,Heathers,1989,2.0
384557,Twin Peaks,1989,4.0
51383,GoodFellas,1990,3.0
50846,Misery,1990,2.5
51889,Edward Scissorhands,1990,2.0
51723,Night on Earth,1991,4.0
51688,Basic Instinct,1992,3.5
38397,Naked,1993,4.5
51733,Jurassic Park,1993,
51942,Three Colours: Blue,1993,4.0
51941,Three Colours: White,1994,2.5
51444,Pulp Fiction,1994,3.0
51949,Léon: The Professional,1994,4.0
51974,Before Sunrise,1995,3.5
46195,The Basketball Diaries,1995,
51345,Se7en,1995,3.5
51497,Trainspotting,1996,4.0
34150,Trees Lounge,1996,3.5
21386,Gabbeh,1996,2.0
51647,Romeo + Juliet,1996,1.0
46175,Perfect Blue,1997,4.0
51524,Titanic,1997,
27256,The Truman Show,1998,2.0
51518,The Matrix,1999,
49047,10 Things I Hate About You,1999,3.0
51717,Eyes Wide Shut,1999,4.5
51568,Fight Club,1999,4.5
49671,"Girl, Interrupted",1999,3.5
51097,American Psycho,2000,2.0
45818,Malena,2000,2.0
51483,Requiem for a Dream,2000,3.0
51910,Donnie Darko,2001,2.0
2991,The Hidden Half,2001,1.0
51344,Shrek,2001,5.0
50791,The Piano Teacher,2001,1.5
51171,Mulholland Drive,2001,3.0
51921,Spirited Away,2001,3.0
51092,Sex and Lucía,2001,2.0
45689,Secretary,2002,2.0
50391,Unfaithful,2002,3.0
51523,City of God,2002,4.0
51096,Frida,2002,
44963,Ju-on: The Grudge,2002,2.5
321514,Redhat and Sarvenaz,2002,
51531,The Hours,2002,3.5
45312,Memories of Murder,2003,3.0
51565,Dogville,2003,5.0
51898,Lost in Translation,2003,3.5
775975,Jewel in the Palace,2003,
51970,Before Sunset,2004,3.5
2683,Eternal Sunshine of the Spotless Mind,2004,2.5
50361,Closer,2004,3.0
51979,Million Dollar Baby,2004,4.0
49257,Lady Vengeance,2005,3.5
51909,Brokeback Mountain,2005,3.5
49568,Corpse Bride,2005,3.0
49390,Pride & Prejudice,2005,3.0
21391,Fireworks Wednesday,2006,
49334,Candy,2006,3.5
51712,The Devil Wears Prada,2006,2.5
50623,My Blueberry Nights,2007,2.0
48571,Into the Wild,2007,3.0
49578,I'm Not There,2007,3.5
48044,There Will Be Blood,2007,4.0
955538,Hello FatherDog,2007,5.0
43517,Sweeney Todd: The Demon Barber of Fleet Street,2007,2.0
51896,The Dark Knight,2008,2.0
46462,Pineapple Express,2008,2.0
319455,Superstar,2009,0.5
40892,Antichrist,2009,1.5
35438,I Killed My Mother,2009,3.5
38544,Orphan,2009,1.5
18660,Blue Valentine,2010,3.0
37502,Remember Me,2010,3.0
18536,Barney's Version,2010,2.5
14542,Heartbeats,2010,2.5
34722,Inception,2010,2.0
20956,Black Swan,2010,3.5
21050,127 Hours,2010,
319901,Saint Petersburg,2010,2.0
21801,Love & Other Drugs,2010,2.0
23414,No Strings Attached,2011,2.0
6345,A Separation,2011,2.0
321903,Mr. Yousef,2011,
4549,Melancholia,2011,4.0
322896,No Men Allowed,2011,
59281,The Hunger Games,2012,
52512,The Master,2012,2.5
69151,Silver Linings Playbook,2012,3.5
71338,The Perks of Being a Wallflower,2012,3.0
99891,The Patience Stone,2012,2.5
117576,Kill Your Darlings,2013,3.5
102444,Before Midnight,2013,4.0
97220,The Before... Collection,2013,4.0
285,The Great Gatsby,2013,2.5
114563,Only Lovers Left Alive,2013,4.0
145069,Hush! Girls Don't Scream,2013,
142299,Begin Again,2013,3.0
114564,Her,2013,2.5
82488,The Hunger Games: Catching Fire,2013,
124379,American Hustle,2013,2.0
86114,The Wolf of Wall Street,2013,3.0
181937,Nymphomaniac: Vol. I,2013,3.0
174195,Nymphomaniac: Vol. II,2013,3.5
171384,Whiplash,2014,3.0
241348,I'm Not Angry!,2014,
503761,Lovely Trash,2014,1.5
149857,Gone Girl,2014,4.0
143875,"Love, Rosie",2014,2.0
117621,Interstellar,2014,3.0
169106,A Most Violent Year,2014,2.0
101991,The Hunger Games: Mockingjay – Part 1,2014,
153285,Fifty Shades of Grey,2015,1.5
178123,The Lobster,2015,3.5
218895,Love,2015,3.5
296556,Sperm Whale,2015,
228946,Equals,2015,2.5
201041,Legend,2015,
101990,The Hunger Games: Mockingjay – Part 2,2015,
