id,Name,Year
51940,Three Colours: Red,1994
436873,Climax,2018
51190,Irreversible,2002
29041,Enter the Void,2009
50967,I Stand Alone,1998
2701,Dancer in the Dark,2000
50934,The Double Life of Véronique,1991
31506,A Short Film About Love,1988
541425,Mank,2020
1086,The Girl with the Dragon Tattoo,2011
50168,The Game,1997
26711,The Social Network,2010
49075,The Curious Case of Benjamin Button,2008
49259,Panic Room,2002
390652,Charlie's Angels,2019
376355,Underwater,2020
371378,Dune,2021
265439,Blade Runner 2049,2017
51311,Dune,1984
247121,Victoria,2015
49391,Atonement,2007
51309,In the Mood for Love,2000
51147,The Prestige,2006
51257,Andrei Rublev,1966
333291,Happy End,2017
31586,Code Unknown,2000
51521,Full Metal Jacket,1987
32345,Taste of Cherry,1997
187986,Ex Machina,2015
328538,The Florida Project,2017
433863,The Lighthouse,2019
459564,Midsommar,2019
51400,V for Vendetta,2005
51728,Magnolia,1999
47123,Scent of a Woman,1992
448445,Pain and Glory,2019
18627,Incendies,2010
110740,Prisoners,2013
95113,The Grand Budapest Hotel,2014
41352,Inglourious Basterds,2009
48140,No Country for Old Men,2007
51621,Good Will Hunting,1997
62006,Detachment,2011
45428,Mystery Train,1989
448533,Matthias & Maxime,2019
306491,Paterson,2016
51269,Coffee and Cigarettes,2003
51107,The Dreamers,2003
49172,Masculin Féminin,1966
188434,Force Majeure,2014
51359,Blue Velvet,1986
51858,Amélie,2001
51944,Predator,1987
51988,A History of Violence,2005
505000,Last Night in Soho,2021
139795,Birdman or (The Unexpected Virtue of Ignorance),2014
352295,The Wild Pear Tree,2018
310034,Toni Erdmann,2016
80200,The Place Beyond the Pines,2012
51486,Lost Highway,1997
45489,Fallen Angels,1995
51840,Ali: Fear Eats the Soul,1974
885411,World on a Wire,1973
48927,L'Avventura,1960
23950,La Notte,1961
38593,L'Eclisse,1962
35166,Red Desert,1964
51656,La Dolce Vita,1960
50915,Vivre Sa Vie,1962
51475,Belle de Jour,1967
47744,The Conformist,1970
51906,Breaking the Waves,1996
42942,Beau Travail,1999
32347,Mother,2009
422035,Burning,2018
48800,Hiroshima Mon Amour,1959
49527,Last Year at Marienbad,1961
21149,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975
51972,Blade Runner,1982
361725,A Ghost Story,2017
171007,I Origins,2014
570193,House of Gucci,2021
48454,Bram Stoker's Dracula,1992
50702,Vanilla Sky,2001
42917,Happily Ever After,2004
197628,Sicario,2015
384058,Beautiful Boy,2018
195494,Canaan,2008
171174,Camp X-Ray,2014
47516,Wanted,2008
441471,West Side Story,2021
527841,The Power of the Dog,2021
544380,The Last Duel,2021
51042,The Departed,2006
551275,The Matrix Resurrections,2021
572255,Don't Look Up,2021
51602,Love Actually,2003
277,Drive,2011
462063,The Dig,2021
44353,The Brown Bunny,2003
49496,Revolutionary Road,2008
524592,Nightmare Alley,2021
330810,Under the Silver Lake,2018
558806,C'mon C'mon,2021
62483,Shame,2011
519052,The Tragedy of Macbeth,2021
267547,It's Only the End of the World,2016
51528,Solaris,1972
31177,Ivan's Childhood,1962
51062,Stalker,1979
36618,The Sacrifice,1986
51065,Nostalgia,1983
51064,Mirror,1975
45369,Wilde,1997
73367,Inside Llewyn Davis,2013
119466,Blue Jasmine,2013
348914,The Batman,2022
679291,Drive My Car,2021
451559,The 355,2022
572119,Scream,2022
561763,Pig,2021
373018,Cold War,2018
47891,2 or 3 Things I Know About Her,1967
432004,Sound of Metal,2019
511342,Judas and the Black Messiah,2021
567547,Pieces of a Woman,2020
509662,Nomadland,2020
695473,CODA,2021
541998,King Richard,2021
528780,The Eyes of Tammy Faye,2021
641086,Licorice Pizza,2021
46948,Mädchen in Uniform,1931
51355,Persona,1966
35925,House,1977
51153,Elevator to the Gallows,1958
51947,Taxi Driver,1976
45409,Shutter Island,2010
333203,The Irishman,2019
50956,Raging Bull,1980
45842,After Hours,1985
45928,A Short Film About Killing,1988
274105,Dekalog,1989
22902,Camera Buff,1979
16483,Talking Heads,1980
46344,Fantastic Mr. Fox,2009
70105,Moonrise Kingdom,2012
47169,The Royal Tenenbaums,2001
51674,The Life Aquatic with Steve Zissou,2004
45203,Rushmore,1998
131425,T2 Trainspotting,2017
316311,mother!,2017
44740,The Wrestler,2008
47379,Europa,1991
38053,The Kingdom,1994
51231,Dead Man,1995
50980,Down by Law,1986
49124,Ghost Dog: The Way of the Samurai,1999
420703,Green Book,2018
51821,Stand by Me,1986
50822,Inland Empire,2006
77599,Beloved,2011
333654,Darkest Hour,2017
527671,The Father,2020
209606,Still Alice,2014
187975,Room,2015
291610,"Three Billboards Outside Ebbing, Missouri",2017
310705,The Favourite,2018
706064,Fresh,2022
51669,Vertigo,1958
51620,The Seventh Seal,1957
50682,Twin Peaks: Fire Walk with Me,1992
48653,That Obscure Object of Desire,1977
96083,Frances Ha,2012
45411,Public Enemies,2009
51934,Match Point,2005
385511,Doctor Strange in the Multiverse of Madness,2022
839774,Moon Knight,2022
25156,Contagion,2011
3512,"One Sings, the Other Doesn't",1977
565852,The Northman,2022
50563,Original Sin,2001
181424,Captain Khorshid,1987
15669,Where Is the Friend's House?,1987
32348,Close-Up,1990
17217,Certified Copy,2010
21726,The Wind Will Carry Us,1999
70210,"Life, and Nothing More...",1992
18272,Through the Olive Trees,1994
42935,Ten,2002
82959,Like Someone in Love,2012
707140,Cairo Conspiracy,2022
176053,A Girl Walks Home Alone at Night,2014
427970,Triangle of Sadness,2022
307298,The Disaster Artist,2017
51843,North by Northwest,1959
21181,"Bashu, the Little Stranger",1986
189466,Ballad of Tara,1979
186611,Travelers,1992
474474,Everything Everywhere All at Once,2022
111848,The Matriarch,2007
228482,The Neon Demon,2016
43866,Keane,2004
88353,Laurence Anyways,2012
188421,Mommy,2014
133420,Tom at the Farm,2013
218231,The Death & Life of John F. Donovan,2018
689481,The Night Logan Woke Up,2022
114657,The Best Offer,2013
447463,Capernaum,2018
51405,Shaun of the Dead,2004
551400,Black Bear,2020
410958,The Art of Self-Defense,2019
293066,Suspiria,2018
39222,Damnation,1988
48324,Hotel Chevalier,2007
47809,In Bruges,2008
26991,Four Lions,2010
37833,Scott Pilgrim vs. the World,2010
51454,Oldboy,2003
430806,I'm Thinking of Ending Things,2020
44320,Autumn Sonata,1978
188568,The Salt of the Earth,2014
717972,Kimi,2022
188497,Wild Tales,2014
323609,"I, Tonya",2017
39579,The Red Shoes,1948
50207,The Aviator,2004
51038,Perfume: The Story of a Murderer,2006
50112,Adaptation.,2002
459184,The Perfection,2018
51777,Amadeus,1984
84642,Helter Skelter,2012
50954,Rope,1948
146954,The Imitation Game,2014
193554,It Follows,2014
403826,Boy Erased,2018
82561,Light Years Away,1981
70778,Liberal Arts,2012
680383,Orphan: First Kill,2022
353117,Get Out,2017
51881,28 Days Later,2002
180414,Focus,2015
736318,Crimes of the Future,2022
172633,Clouds of Sils Maria,2014
669744,Petite Maman,2021
42916,In Paris,2006
386631,Benedetta,2021
525501,The Female Closet,1998
48475,The Mexican,2001
51985,Talk to Her,2002
46753,The Princess Diaries,2001
35362,Maurice,1987
