id,Name,Release_Year,user_rate
139477,Sallie Gardner at a Gallop,1878,
84973,Newark Athlete,1891,
115755,Falling Cat,1894,
136283,"Luis Martinetti, Contortionist",1894,
85095,Edison Kinetoscopic Record of a Sneeze,1894,
119139,Leonard-Cushing Fight,1894,
84533,Dickson Experimental Sound Film,1894,
116258,Buffalo Dance,1894,
119135,Hadj Cheriff,1894,
119140,Bucking Broncho,1894,
51378,Workers Leaving the Lumière Factory,1895,
29198,"The Execution of Mary, Queen of Scots",1895,
84614,The Vanishing Lady,1896,
137391,Arrivée d'un train à Perrache,1896,
98885,Sandow,1896,
84613,A Nightmare,1896,
84606,After the Ball,1897,
139769,The Last Cartridges,1897,
140123,Armour's Electric Trolley,1897,
51891,The Arrival of a Train at La Ciotat,1897,
84604,"Divers at Work on the Wreck of the ""Maine""",1898,
79458,The Magician,1898,4.0
84733,The Pillar of Fire,1899,
109572,"What Happened on Twenty-Third Street, New York City",1901,
79367,The Big Swallow,1901,3.5
51377,A Trip to the Moon,1902,4.0
109702,Electrocuting an Elephant,1903,
48719,The Great Train Robbery,1903,3.5
162926,Grandma Despina,1905,
173498,Weaving Women,1905,
141050,A Desperate Crime,1906,
71740,Fantasmagorie,1908,
139458,Slippery Jim,1909,2.5
12530,A Day's Pleasure,1919,3.0
51822,The Cabinet of Dr. Caligari,1920,4.5
37455,One Week,1920,3.5
14453,The Scarecrow,1920,3.5
14452,Neighbors,1920,3.5
46549,The Kid,1921,3.0
25807,Hard Luck,1921,3.0
18841,The High Sign,1921,2.0
85427,Rhythm 21,1921,
51471,Nosferatu,1922,2.5
25873,Cops,1922,2.5
8871,Häxan,1922,3.5
14444,The Electric House,1922,2.5
51177,"Sherlock, Jr.",1924,5.0
86333,Ballet Mécanique,1924,3.5
20245,Strike,1925,3.5
51201,The Gold Rush,1925,3.0
51481,Battleship Potemkin,1925,4.0
8118,Anemic Cinema,1926,3.0
51202,The General,1926,4.5
51429,October (Ten Days that Shook the World),1927,4.0
51372,The Passion of Joan of Arc,1928,5.0
136867,Messe Noire,1928,
31200,The Cameraman,1928,4.0
35411,Man with a Movie Camera,1929,4.5
51498,Un Chien Andalou,1929,4.5
48693,L'Âge d'Or,1930,4.0
51251,City Lights,1931,4.5
51320,M,1931,4.0
51275,Scarface,1932,3.0
51373,Vampyr,1932,4.5
51959,Land Without Bread,1933,3.5
217376,May,1936,
49889,Modern Times,1936,4.0
51682,Snow White and the Seven Dwarfs,1937,
111109,Hindenburg Disaster Newsreel Footage,1937,
51252,Bringing Up Baby,1938,3.5
41689,Holiday,1938,3.5
51174,Stagecoach,1939,4.0
49887,Wuthering Heights,1939,3.0
21325,Only Angels Have Wings,1939,4.5
51494,The Wizard of Oz,1939,3.0
45797,Pinocchio,1940,
51525,The Grapes of Wrath,1940,4.5
2702,Citizen Kane,1941,4.5
51200,The Maltese Falcon,1941,2.5
51854,To Be or Not to Be,1942,3.5
51198,The Magnificent Ambersons,1942,3.5
51770,Casablanca,1942,3.5
36010,Cat People,1942,4.0
34848,Meshes of the Afternoon,1943,4.5
51173,Double Indemnity,1944,4.5
37808,To Have and Have Not,1944,3.5
50669,Laura,1944,3.5
84545,A Study in Choreography for Camera,1945,
51301,Brief Encounter,1945,4.0
49598,Gilda,1946,3.5
51756,Notorious,1946,3.0
51242,The Big Sleep,1946,3.5
85430,Ritual in Transfigured Time,1946,
59425,School for Postmen,1947,2.5
29523,Born to Kill,1947,2.5
51446,Out of the Past,1947,3.0
49599,The Lady from Shanghai,1947,4.0
50954,Rope,1948,3.5
47924,Germany Year Zero,1948,4.5
39579,The Red Shoes,1948,4.0
49882,Red River,1948,3.5
120577,Van Gogh,1948,4.5
34116,Macbeth,1948,3.5
48930,Bicycle Thieves,1948,4.0
76458,Blood of the Beasts,1949,4.0
132769,Paul Gauguin,1949,2.5
51154,The Third Man,1949,4.0
38953,Late Spring,1949,3.5
87811,Guernica,1949,3.5
45485,Cinderella,1950,
41301,The Asphalt Jungle,1950,4.0
41235,In a Lonely Place,1950,4.0
51522,Sunset Boulevard,1950,5.0
51570,Rashomon,1950,4.5
51352,The Young and the Damned,1950,3.5
19324,Flying Padre,1951,
19328,Day of the Fight,1951,2.5
51424,A Streetcar Named Desire,1951,4.0
