id,Name,Year
93573,May Days,1978
240928,With the Blood of Others,1974
202934,They Kill Me If I Don't Work and If I Work They Kill Me,1974
156311,Class of Struggle,1969
51326,The Bridge on the River Kwai,1957
39638,Nights of Cabiria,1957
44489,I Vitelloni,1953
100076,Andrei Tarkovsky: A Poet in the Cinema,1984
105223,One Day in the Life of Andrei Arsenevich,1999
21221,I'm Still Here,2010
51376,The Rules of the Game,1939
51493,Sunrise: A Song of Two Humans,1927
21253,L'Atalante,1934
23019,Shoah,1985
2698,Metropolis,1927
50121,Journey to Italy,1954
29289,Gertrud,1964
41081,The Battle of Algiers,1966
51167,The Leopard,1963
51375,Grand Illusion,1937
50239,Children of Paradise,1945
60299,Lawrence of Arabia,1962
51058,Greed,1924
42089,A Brighter Summer Day,1991
21279,A Day in the Country,1946
33869,A Matter of Life and Death,1946
49912,Intolerance: Love's Struggle Throughout the Ages,1916
36334,The Life and Death of Colonel Blimp,1943
55889,The Earrings of Madame de...,1953
29312,Imitation of Life,1959
64220,Touki Bouki,1973
35988,Yi Yi,2000
74571,Wavelength,1967
51437,The Travelling Players,1975
46815,"Ivan the Terrible, Part I",1944
49885,The Lady Eve,1941
42174,A Canterbury Tale,1944
51857,Trouble in Paradise,1932
15651,A City of Sadness,1989
38624,Spring in a Small Town,1948
78431,Out 1,1971
20012,The River,1951
51243,Meet Me in St. Louis,1944
34860,Céline and Julie Go Boating,1974
48524,The Last Laugh,1924
51238,The Great Dictator,1940
17834,Memories of Underdevelopment,1968
21772,Diary of a Country Priest,1951
22547,Napoleon,1927
35705,Marketa Lazarová,1967
51183,Chimes at Midnight,1965
60300,Letter from an Unknown Woman,1948
41591,Black Narcissus,1947
47756,My Neighbor Totoro,1988
23257,"Distant Voices, Still Lives",1988
51812,King Kong,1933
37507,Werckmeister Harmonies,2000
49886,His Girl Friday,1940
51193,Sweet Smell of Success,1957
44908,Kind Hearts and Coronets,1949
51192,Tabu,1931
18768,Earth,1930
51752,"Rome, Open City",1945
51330,The Music Room,1958
19228,The Story of the Last Chrysanthemum,1939
21014,A Touch of Zen,1971
74703,Listen to Britain,1942
23633,Day of Wrath,1943
33778,"I Was Born, But...",1932
9938,I Know Where I'm Going!,1945
31528,The Death of Mr. Lazarescu,2005
50858,Chelsea Girls,1966
885412,Berlin Alexanderplatz,1980
72944,Tie Xi Qu: West of the Tracks,2002
47731,Paisan,1946
39082,The Shop Around the Corner,1940
21784,The Life of Oharu,1952
42416,Army of Shadows,1969
49908,Duck Soup,1933
30648,"The Devil, Probably",1977
63723,Floating Clouds,1955
51382,Gone with the Wind,1939
14960,An Autumn Afternoon,1962
43200,The Thin Blue Line,1988
44703,The Testament of Dr. Mabuse,1933
49883,My Darling Clementine,1946
123102,A and B in Ontario,1984
12700,Identification of a Woman,1982
100497,The Vampires of Poverty,1978
51665,"One, Two, Three",1961
318574,The Tell-Tale Heart,2008
30523,The Palm Beach Story,1942
49004,Import/Export,2007
104931,The Lovers' Wind,1978
51363,Closely Watched Trains,1966
112717,A Spring for the Thirsty,1965
46918,New York Stories,1989
1133,Duelle,1976
38894,Seconds,1966
45993,Happiness,1998
44415,La Belle Noiseuse,1991
51458,Central Station,1998
36140,The Masque of the Red Death,1964
32842,The Juniper Tree,1990
452436,Bergman: A Year in a Life,2018
28054,The Wayward Cloud,2005
174755,Trespassing Bergman,2013
82887,The Bridge of Arts,2004
28182,To Each His Own Cinema,2007
351715,Wildlife,2018
343783,Horace and Pete,2016
50770,The Story of Adele H.,1975
37870,Another Woman,1988
382390,Filmfarsi,2019
35100,House of Games,1987
45585,Tess,1979
46322,Moby Dick,1956
142410,The Left-Handed Woman,1977
46234,"Faraway, So Close!",1993
42812,if....,1968
39998,Faust,1994
38577,Lunacy,2005
38172,Naqoyqatsi,2002
36837,Powaqqatsi,1988
3632,"La Commune (Paris, 1871)",2000
75424,Samsara,2011
51175,Straw Dogs,1971
51916,Dont Look Back,1967
341755,Lucky,2017
17185,Lumière and Company,1995
49249,Orpheus,1950
15621,Wings,1966
181524,Larisa,1980
106472,Farewell,1983
41361,All That Jazz,1979
509980,It has to be lived once and dreamed twice,2019
249545,Guided by Voices,2000
186753,Parallel Space: Inter-View,1992
480322,At the Horizon,2017
150278,Fog Line,1970
7395,Wittgenstein,1993
102171,8 X 8: A Chess-Sonata in 8 Movements,1955
593046,Women According to Men,2020
311942,Cameraperson,2016
32384,Blood on the Moon,1948
35600,The Naked Kiss,1964
486505,The Blues,2003
48589,Blue in the Face,1995
24742,Kuroneko,1968
49600,The Naked Island,1960
33012,Le Trou,1960
277921,The Secret Garden,1988
13985,Seven Up!,1964
94866,The Consequences of Feminism,1906
40191,One-Eyed Jacks,1961
44984,On Golden Pond,1981
51188,The Philadelphia Story,1940
47325,And Now for Something Completely Different,1971
556244,The Naked King - 18 Fragments on Revolution,2019
51480,A.I. Artificial Intelligence,2001
51542,Jaws,1975
97614,Pictures of the Old World,1972
25182,The Dead,1987
208049,A Trip Across Misty Meadows,1973
97672,U.S. Go Home,1994
50788,La Cérémonie,1995
713517,Introduction,2021
34463,The Unknown,1927
71378,Diary for My Children,1984
35704,The Shop on Main Street,1965
27863,Carnal Knowledge,1971
38985,The Naked City,1948
49023,Paprika,2006
495527,Redoubt,2019
50764,"Farewell, My Lovely",1975
38360,Noroi: The Curse,2005
448962,Take This Tablet,2004
24245,The Emigrants,1971
629975,Accidental Luxuriance of the Translucent Watery Rebus,2020
499214,Scenes with Beans,1976
499208,I Like Life a Lot,1977
124889,Stations of the Elevated,1981
345927,025 Sunset Red,2016
28322,Derrida,2002
16016,The Last Movie,1971
203049,Arshin Takes a Wife,1945
372740,The Sisters Brothers,2018
36130,The Silent Partner,1978
330739,The Meyerowitz Stories (New and Selected),2017
51592,The Blues Brothers,1980
139272,The Crime of Carelessness,1912
130452,Bastards,2013
284941,Happy Hour,2015
180199,If I Had Four Dromedaries,1966
251776,The Movement of Things,1985
43921,Tokyo Godfathers,2003
